id	RNF43_WT_4	RNF43_WT_3	RNF43_WT_2	RNF43_WT_1	GFP_4	GFP_3	GFP_2	GFP_1	RNF43_659fs_4	RNF43_659fs_3	RNF43_659fs_2	RNF43_659fs_1	RNF43_117fs_4	RNF43_117fs_3	RNF43_117fs_2	RNF43_117fs_1
ENSG00000159479.16	0.3338	0.1279	-0.0431	0.8872	0.4828	0.9121	0.5189	0.2465	-0.7379	-1.6088	-1.1084	-2.2631	0.2553	0.4264	1.7139	-0.1435
ENSG00000154511.11	-0.3225	-0.3518	-0.0234	-0.9605	-0.4918	-0.2195	-0.0224	-0.1486	0.8912	1.7309	1.7781	0.6125	-2.4068	-0.4859	0.4256	-0.0053
ENSG00000144504.15	0.2017	1.5130	-0.0304	0.7209	-0.6803	1.7616	0.0861	-0.7030	-0.2615	-2.1103	-0.4668	-0.4672	0.9281	1.0414	-0.7342	-0.7992
ENSG00000142507.9	-1.0155	-0.6424	0.0221	-0.9707	0.8868	0.7092	0.9684	0.5254	-0.6909	-1.0778	-0.9092	-0.9186	2.1287	1.0129	0.7742	-0.8027
ENSG00000197019.4	0.2397	0.2163	0.3495	-1.4221	1.4392	-0.3790	0.7092	-0.0205	0.5500	0.8573	1.0129	0.3337	0.0363	-0.0587	-1.4906	-2.3731
ENSG00000164116.16	-1.0578	0.0999	0.4909	-1.0760	0.1278	-0.6518	-1.2737	-0.7479	0.9259	1.7499	1.0906	0.8029	-1.2025	1.4747	-0.0670	-0.6861
ENSG00000138669.9	0.6478	-0.0484	-0.4874	1.1507	-0.1181	1.0636	1.3316	-0.1269	-0.9345	-0.1297	-0.8715	-1.3870	-2.1247	0.1559	1.2597	0.6188
ENSG00000174013.7	-0.4086	-0.0444	-0.1359	-0.3364	0.6376	0.2269	0.5944	-0.6274	0.3541	0.7066	0.3061	0.1791	-3.2115	1.0477	1.0905	-0.3787
ENSG00000178821.12	-1.4231	-1.1759	0.2850	-1.6376	-0.0574	-0.9785	0.2471	0.3656	-0.0695	-0.2413	0.4917	0.4008	1.9725	1.3228	1.0985	-0.6007
ENSG00000196126.10	0.5829	0.0815	1.1510	0.3370	-1.1551	-1.9287	-1.2465	-1.1651	1.4276	0.9925	1.2483	0.1139	-0.2562	0.5372	-0.2153	-0.5051
ENSG00000129455.15	-0.7414	-1.2588	1.8550	-0.8695	1.0203	-0.0776	-1.0911	0.3295	0.9175	0.7664	0.7859	0.1857	0.7815	0.0297	-1.6021	-1.0309
ENSG00000143033.17	-0.1604	0.2198	-0.0697	-1.8128	1.6993	0.4603	1.8169	-0.0422	-0.0195	0.2027	0.2276	0.2834	-1.7454	0.6915	-0.8691	-0.8824
ENSG00000259956.1	-0.6168	0.2101	-0.4818	-0.4451	0.0063	0.8961	0.0952	0.9187	0.3846	-0.8498	0.5824	0.1162	1.9353	-2.4850	-0.9427	0.6762
ENSG00000177133.10	-1.1605	0.3195	1.4605	0.7600	-0.2229	-0.5525	-1.6277	-0.4532	0.2889	-0.8453	0.8244	0.1324	1.8909	-1.5119	0.2228	0.4745
ENSG00000213599.10	0.1952	-1.3044	-0.7620	-0.8471	1.1991	0.7942	0.9683	1.5004	0.3053	-0.6126	0.2681	-0.3417	1.1376	-0.4694	0.0960	-2.1270
ENSG00000132122.11	-1.2957	0.9290	0.2518	0.2305	0.0987	0.7816	-0.7381	1.3950	-0.6298	0.2164	-1.7375	1.7498	-0.4139	-0.8826	0.9591	-0.9142
ENSG00000267601.1	0.0942	-2.2503	-1.5071	-0.8135	-0.4872	0.8329	0.6360	0.7092	-0.1089	1.1573	0.0672	-0.6325	1.2384	1.2695	0.2391	-0.4442
ENSG00000196296.13	-1.2222	-0.5320	-0.8752	-0.9884	0.4274	0.5325	1.4524	-0.1854	1.7312	-0.7104	-0.5966	-1.1661	0.6541	1.7572	0.0821	-0.3606
ENSG00000174132.8	0.4378	0.2362	-0.2152	0.4826	-0.9186	0.7353	-0.2888	0.4385	-0.4319	-1.3017	-0.4496	-0.3190	3.0769	-0.0206	-0.5164	-0.9456
ENSG00000196748.9	0.0167	-2.1958	0.1715	-1.0478	-0.3056	-1.3955	0.6992	-0.4781	0.3932	1.0346	1.2694	-0.5554	0.9885	1.0019	0.9383	-0.5353
ENSG00000163975.11	0.9789	0.2258	-0.1096	0.2026	-1.2805	0.3665	-0.9872	1.4393	-0.1421	-0.5691	-0.9922	0.1480	1.3727	-1.9834	-0.0642	1.3946
ENSG00000143183.16	0.3275	0.5424	-0.4240	0.6325	-0.8419	0.7558	-0.3093	0.1097	0.5109	0.9456	-0.1160	0.4699	-3.2601	0.1537	-0.2294	0.7328
ENSG00000260097.2	-1.9290	0.4250	-0.8104	-0.8740	0.9346	1.5354	0.1186	-0.1228	0.9335	-0.1294	-0.3259	0.2733	0.4492	-1.9977	0.7847	0.7350
ENSG00000183696.13	-0.0475	1.4284	-0.4291	0.9123	-0.6070	-1.1415	-0.5909	0.7632	-0.6396	-0.9564	-1.3567	0.1534	2.3227	-0.5409	0.6780	0.0517
ENSG00000235944.7	-0.4977	-1.1783	-0.6003	-0.2397	1.0419	0.4924	0.9977	0.3563	-1.1095	-0.7143	-0.7747	-1.3396	1.8452	0.3637	1.6536	-0.2968
ENSG00000272512.1	-0.2602	-0.2134	-0.6931	-0.7204	2.0159	0.4401	-0.2569	0.5097	0.8445	0.5867	1.3340	0.2790	-2.0383	-0.0062	-1.4472	-0.3742
ENSG00000117139.16	-0.5518	-0.5700	-0.8443	-1.0263	2.3521	0.9888	1.8171	0.7639	-0.5355	-0.3075	-0.6192	-0.9017	-0.6353	0.2054	0.2287	-0.3645
ENSG00000001460.17	0.5357	-0.5303	-0.0678	-0.9343	1.5724	0.1430	0.7585	0.9999	-1.3916	0.2862	-1.8803	-0.8417	0.2317	1.4515	0.5434	-0.8763
ENSG00000135723.13	-0.4602	-0.7713	0.8384	-1.2219	0.5363	-0.0505	0.3721	-0.3855	1.4423	1.0940	2.1422	-0.6799	-0.7920	-0.4527	-0.1121	-1.4991
